Altium Designer Pick and Place Locations
C:\ELI\rt_super\MK76\mixdowns\A\CCA\RT_SUPER__MK_76_PICK_PLACE__A.csv

========================================================================================================================
File Design Information:

Date:       18/11/23
Time:       21:46
Revision:   f0b929d69c700d2b5308ad0ca989cd891f9a10c0
Variant:    A
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Manufacturer Part Number","Supplier 1","Supplier Part Number 1"
"C37","0.1uF 6v","BottomLayer","C0201_PERFECT","13.6652","23.4710","270","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"C38","0.1uF 6v","BottomLayer","C0201_PERFECT","8.6840","22.3960","0","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"R16","1k","TopLayer","R0402_0.40MM_HD","18.8468","16.3068","180","RES 1K OHM 1/10W 1% 0402 SMD","ERJ-2RKF1001X","Digi-Key","P1.00KLCT-ND"
"C35","0.1uF 6v","BottomLayer","C0201_PERFECT","15.3924","19.6088","180","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"C30","0.1uF 6v","BottomLayer","C0201_PERFECT","9.1714","19.1008","270","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"C15","0.1uF 6v","BottomLayer","C0201_PERFECT","12.5090","17.5960","270","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"C25","0.1uF 6v","BottomLayer","C0201_PERFECT","14.7290","18.8214","180","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"C6","0.1uF 6v","TopLayer","C0201_PERFECT","6.4019","21.3460","0","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"C14","0.1uF 6v","BottomLayer","C0201_PERFECT","14.4840","17.3210","0","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"C12","0.1uF 6v","BottomLayer","C0201_PERFECT","12.7000","15.3924","90","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"C13","0.1uF 6v","BottomLayer","C0201_PERFECT","10.3886","20.2946","180","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"C24","0.1uF 6v","BottomLayer","C0201_PERFECT","10.4902","16.8148","0","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"R14","100k","TopLayer","R0402_0.40MM_HD","5.6388","7.3660","0","RES 100K OHM 1/10W 1% 0402 SMD","ERJ-2RKF1003X","Digi-Key","P100KLCT-ND"
"R12","100k","TopLayer","R0402_0.40MM_HD","5.6388","10.9574","0","RES 100K OHM 1/10W 1% 0402 SMD","ERJ-2RKF1003X","Digi-Key","P100KLCT-ND"
"D1","BAT760-7","TopLayer","D_SOD-323_P","29.1846","30.1752","180","DIODE SCHOTTKY 30V 1A SOD323","BAT760-7","Digi-Key","BAT760DICT-ND"
"R1","10k","TopLayer","R0402_0.40MM_HD","17.6152","25.1911","180","RES 10K OHM 1/10W 1% 0402 SMD","ERJ-2RKF1002X","Digi-Key","P10.0KLCT-ND"
"R5","20k","TopLayer","R0402_0.40MM_HD","26.9231","19.9495","0","RES 20K OHM 1/10W 1% 0402 SMD","ERJ-2RKF2002X","Digi-Key","P20.0KLCT-ND"
"R4","2.2k","TopLayer","R0402_0.40MM_HD","22.1931","18.9161","270","RES 2.2K OHM 1/10W 1% 0402 SMD","ERJ-2RKF2201X","Digi-Key","P2.20KLCT-ND"
"R3","2.2k","TopLayer","R0402_0.40MM_HD","20.9630","20.9550","90","RES 2.2K OHM 1/10W 1% 0402 SMD","ERJ-2RKF2201X","Digi-Key","P2.20KLCT-ND"
